Unnamed: 0,Airline,Total_Stops,Additional_Info,Distance_km,Day_of_journey,Month_of_journey,Dep_hour,Dep_minute,Dep_time_sinceMidnight,Arrival_hour,Arrival_minute,Arrival_time_sinceMidnight,Duration_mins,Premium
1043,Air India,1,1 Long layover,1733.8148384158953,1,3,11,5,665,19,50,1190,525.0,0
9860,Jet Airways,0,No Info,1732.2021511121818,18,4,11,10,670,14,5,845,175.0,0
96,SpiceJet,0,No check-in baggage included,1732.2021511121818,15,5,5,55,355,8,35,515,160.0,0
9862,Jet Airways,1,No Info,1555.0674811297085,1,4,20,0,1200,18,15,1095,1335.0,0
5968,Air India,2,No Info,621.7888435036485,6,3,12,45,765,19,25,1165,400.0,0
353,Air India,1,No Info,1733.8148384158953,1,3,11,5,665,9,15,555,1330.0,0
3491,Jet Airways,1,In-flight meal not included,1555.0674811297085,1,5,14,5,845,4,40,280,875.0,0
6848,SpiceJet,0,No check-in baggage included,1355.3008742024228,24,6,9,45,585,12,0,720,135.0,0
5483,Air India,2,No Info,2067.9375320460367,27,5,22,0,1320,19,15,1155,1275.0,0
4903,Air India,2,No Info,2067.9375320460367,18,5,18,45,1125,19,15,1155,30.0,0
3660,Air India,1,No Info,2067.9375320460367,1,6,12,30,750,9,25,565,1255.0,0
6929,IndiGo,1,No Info,1555.0674811297085,12,6,19,20,1160,23,45,1425,265.0,0
4193,Jet Airways,2,No Info,2067.9375320460367,3,6,19,30,1170,4,25,265,535.0,0
4908,Multiple carriers,1,No Info,2067.9375320460367,9,5,15,0,900,1,30,90,630.0,0
1237,IndiGo,1,No Info,2067.9375320460367,27,3,8,25,505,15,30,930,425.0,0
10142,Air India,1,No Info,2067.9375320460367,9,4,7,0,420,19,15,1155,735.0,0
5125,IndiGo,0,No Info,621.7888435036485,6,5,9,10,550,10,40,640,90.0,0
4150,Jet Airways,1,In-flight meal not included,2067.9375320460367,27,5,11,30,690,12,35,755,65.0,0
7284,SpiceJet,0,No check-in baggage included,1555.0674811297085,6,5,9,0,540,11,25,685,145.0,0
4021,Multiple carriers,1,No Info,2067.9375320460367,24,6,9,15,555,19,0,1140,585.0,0
5665,Jet Airways,1,In-flight meal not included,2067.9375320460367,3,6,9,0,540,12,35,755,215.0,0
2706,IndiGo,0,No Info,1355.3008742024228,1,3,5,15,315,7,35,455,140.0,0
5351,SpiceJet,1,No check-in baggage included,2067.9375320460367,21,5,8,45,525,13,15,795,270.0,0
5969,Jet Airways,1,No Info,1555.0674811297085,12,5,6,30,390,19,50,1190,800.0,0
3859,Multiple carriers,1,No Info,2067.9375320460367,9,5,10,0,600,1,30,90,930.0,0
2067,Jet Airways,0,In-flight meal not included,621.7888435036485,15,6,10,20,620,11,50,710,90.0,0
3773,IndiGo,1,No Info,2067.9375320460367,21,3,9,10,550,21,0,1260,710.0,0
9131,Jet Airways,0,No Info,1732.2021511121818,9,6,8,20,500,11,20,680,180.0,0
5748,IndiGo,1,No Info,2067.9375320460367,27,5,4,55,295,21,0,1260,965.0,0
145,Jet Airways,1,In-flight meal not included,1555.0674811297085,21,5,20,0,1200,23,35,1415,215.0,0
2047,Multiple carriers,1,No Info,2067.9375320460367,9,6,10,0,600,21,0,1260,660.0,0
4869,SpiceJet,0,No check-in baggage included,1732.2021511121818,21,5,21,10,1270,0,5,5,175.0,0
7642,IndiGo,2,No Info,2067.9375320460367,27,3,4,55,295,21,20,1280,985.0,0
407,IndiGo,0,No Info,1732.2021511121818,18,4,23,30,1410,2,20,140,170.0,0
9650,Multiple carriers,1,No Info,2067.9375320460367,6,6,6,0,360,19,15,1155,795.0,0
5196,Jet Airways,1,No Info,1555.0674811297085,15,5,16,30,990,12,0,720,1170.0,0
8844,Air India,1,No Info,2067.9375320460367,12,6,10,0,600,19,15,1155,555.0,0
3312,Jet Airways,1,No Info,1555.0674811297085,24,3,21,10,1270,10,5,605,775.0,0
2553,Air India,2,No Info,1555.0674811297085,24,3,9,50,590,23,15,1395,805.0,0
2098,Jet Airways,1,No Info,2067.9375320460367,18,5,8,0,480,19,0,1140,660.0,0
2276,Air India,2,No Info,1555.0674811297085,15,5,10,0,600,13,45,825,225.0,0
7557,Jet Airways,1,In-flight meal not included,2067.9375320460367,3,6,17,30,1050,19,0,1140,90.0,0
7875,Jet Airways,1,In-flight meal not included,1733.8148384158953,12,3,20,35,1235,23,0,1380,145.0,0
6555,Jet Airways,1,No Info,1555.0674811297085,6,5,8,25,505,18,15,1095,590.0,0
4964,Air India,0,No Info,1732.2021511121818,24,5,21,5,1265,23,55,1435,170.0,0
10125,IndiGo,1,No Info,2067.9375320460367,3,6,10,35,635,1,30,90,895.0,0
348,Air India,2,No Info,1555.0674811297085,9,6,9,25,565,13,45,825,260.0,0
10065,IndiGo,0,No Info,1732.2021511121818,12,6,10,10,610,13,0,780,170.0,0
5501,Jet Airways,1,No Info,1555.0674811297085,21,5,6,30,390,8,15,495,105.0,0
2839,Jet Airways,1,No Info,1555.0674811297085,21,5,21,10,1270,9,20,560,730.0,0
1299,IndiGo,1,No Info,2067.9375320460367,27,5,11,55,715,22,30,1350,635.0,0
368,Air Asia,1,No Info,1555.0674811297085,9,4,6,50,410,10,30,630,220.0,0
9963,Air India,2,No Info,2067.9375320460367,21,5,5,55,355,7,40,460,105.0,0
8908,Jet Airways,1,In-flight meal not included,1733.8148384158953,21,3,7,0,420,15,15,915,495.0,0
784,Jet Airways,2,No Info,2067.9375320460367,27,6,9,35,575,12,35,755,180.0,0
8465,SpiceJet,0,No Info,1733.8148384158953,18,3,20,30,1230,23,20,1400,170.0,0
8023,Air India,1,No Info,1555.0674811297085,18,5,12,0,720,13,15,795,75.0,0
1071,Air India,0,No Info,1732.2021511121818,27,6,17,0,1020,19,45,1185,165.0,0
5918,Multiple carriers,1,No Info,1555.0674811297085,9,5,23,30,1410,7,45,465,495.0,0
8113,IndiGo,0,No Info,1355.3008742024228,18,5,22,5,1325,0,25,25,140.0,0
1455,Jet Airways,1,In-flight meal not included,1733.8148384158953,21,3,14,5,845,21,20,1280,435.0,0
7998,Air Asia,1,No Info,2067.9375320460367,18,5,7,55,475,13,25,805,330.0,0
5329,Air India,1,No Info,1555.0674811297085,12,5,20,30,1230,8,55,535,745.0,0
4135,Multiple carriers,0,No Info,1733.8148384158953,3,3,11,40,700,14,35,875,175.0,0
10379,Multiple carriers,1,No Info,2067.9375320460367,3,6,6,0,360,19,0,1140,780.0,0
9968,Jet Airways,0,No Info,1732.2021511121818,27,4,19,50,1190,22,50,1370,180.0,0
8485,Air India,0,No Info,1732.2021511121818,12,5,6,10,370,8,55,535,165.0,0
4283,Jet Airways,0,In-flight meal not included,1732.2021511121818,21,5,6,0,360,8,45,525,165.0,0
7501,IndiGo,0,No Info,1555.0674811297085,6,6,20,25,1225,23,10,1390,165.0,0
4357,Multiple carriers,0,No Info,1732.2021511121818,1,5,7,45,465,10,40,640,175.0,0
5640,Air India,2,No Info,621.7888435036485,12,3,10,5,605,19,10,1150,545.0,0
8979,Jet Airways,1,No Info,1555.0674811297085,6,5,14,5,845,12,0,720,1315.0,0
8812,Jet Airways,2,No Info,2067.9375320460367,15,6,20,0,1200,12,35,755,995.0,0
9471,IndiGo,0,No Info,1733.8148384158953,9,3,16,55,1015,19,45,1185,170.0,0
5400,IndiGo,1,No Info,2067.9375320460367,27,6,14,20,860,22,30,1350,490.0,0
2432,Jet Airways,0,No Info,1732.2021511121818,24,5,8,20,500,11,20,680,180.0,0
879,SpiceJet,0,No Info,1555.0674811297085,1,5,17,10,1030,19,40,1180,150.0,0
1404,IndiGo,0,No Info,621.7888435036485,18,3,19,5,1145,20,30,1230,85.0,0
8971,SpiceJet,0,No check-in baggage included,1555.0674811297085,24,6,17,10,1030,19,40,1180,150.0,0
1297,Jet Airways,1,In-flight meal not included,1555.0674811297085,12,5,16,30,990,9,20,560,1010.0,0
6953,Air India,1,No Info,2067.9375320460367,21,3,21,0,1260,7,40,460,640.0,0
10026,Jet Airways,1,In-flight meal not included,1555.0674811297085,24,3,13,55,835,20,40,1240,405.0,0
6311,Air India,0,No Info,1732.2021511121818,9,6,17,0,1020,19,45,1185,165.0,0
5592,Jet Airways,1,No Info,1555.0674811297085,1,4,20,25,1225,18,0,1080,1295.0,0
6334,SpiceJet,0,No check-in baggage included,1732.2021511121818,24,4,9,30,570,12,20,740,170.0,0
6985,Jet Airways,2,No Info,2067.9375320460367,9,6,9,35,575,4,25,265,1130.0,0
848,Air India,2,No Info,1555.0674811297085,15,5,9,25,565,5,25,325,1200.0,0
9596,Jet Airways,0,No Info,1732.2021511121818,18,6,19,50,1190,22,50,1370,180.0,0
3365,Jet Airways,0,No Info,1732.2021511121818,3,6,17,45,1065,20,45,1245,180.0,0
3823,IndiGo,0,No Info,621.7888435036485,24,6,6,25,385,7,55,475,90.0,0
4970,Jet Airways,1,No Info,1555.0674811297085,9,6,6,30,390,4,40,280,1330.0,0
4722,Jet Airways,1,In-flight meal not included,2067.9375320460367,9,3,21,50,1310,18,50,1130,1260.0,0
11,IndiGo,0,No Info,1555.0674811297085,18,4,20,20,1220,22,55,1375,155.0,0
923,Air India,0,No Info,1555.0674811297085,1,3,14,15,855,16,45,1005,150.0,0
1872,IndiGo,0,No Info,1732.2021511121818,12,4,13,0,780,15,50,950,170.0,0
9290,Jet Airways,0,In-flight meal not included,621.7888435036485,27,5,2,55,175,4,20,260,85.0,0
51,Jet Airways,1,No Info,1555.0674811297085,1,5,9,35,575,10,55,655,80.0,0
6776,Jet Airways,1,No Info,1555.0674811297085,1,5,18,55,1135,10,5,605,910.0,0
4096,Jet Airways,2,In-flight meal not included,2067.9375320460367,12,6,9,40,580,12,35,755,175.0,0
7463,Multiple carriers,1,No Info,2067.9375320460367,6,3,6,0,360,13,20,800,440.0,0
8114,Multiple carriers,1,No Info,2067.9375320460367,21,5,13,0,780,21,0,1260,480.0,0
2836,Air India,1,No Info,1555.0674811297085,1,5,9,25,565,18,30,1110,545.0,0
10444,Jet Airways,1,No Info,1555.0674811297085,21,5,8,25,505,16,20,980,475.0,0
6178,Jet Airways,1,In-flight meal not included,2067.9375320460367,18,5,9,0,540,4,25,265,1165.0,0
6386,Jet Airways,1,In-flight meal not included,1555.0674811297085,9,5,20,0,1200,18,15,1095,1335.0,0
342,Jet Airways,1,No Info,1555.0674811297085,9,5,9,35,575,10,55,655,80.0,0
9570,Jet Airways,1,In-flight meal not included,1555.0674811297085,1,5,20,25,1225,23,35,1415,190.0,0
3760,SpiceJet,0,No check-in baggage included,1555.0674811297085,12,4,17,10,1030,19,40,1180,150.0,0
1354,IndiGo,1,No Info,1733.8148384158953,21,3,19,35,1175,0,35,35,300.0,0
6796,Air Asia,0,No Info,1555.0674811297085,21,3,10,20,620,12,55,775,155.0,0
5507,Jet Airways,1,No Info,2067.9375320460367,21,3,13,0,780,18,50,1130,350.0,0
188,IndiGo,0,No Info,1555.0674811297085,3,6,15,30,930,18,5,1085,155.0,0
9207,Jet Airways,1,In-flight meal not included,2067.9375320460367,21,3,2,15,135,4,25,265,130.0,0
10591,Jet Airways,2,No Info,2067.9375320460367,12,6,20,0,1200,19,0,1140,1380.0,0
1905,IndiGo,1,No Info,2067.9375320460367,18,5,9,15,555,1,30,90,975.0,0
6921,Air India,2,No Info,2067.9375320460367,27,6,16,55,1015,19,15,1155,140.0,0
3626,Jet Airways,1,In-flight meal not included,1555.0674811297085,9,5,6,30,390,18,15,1095,705.0,0
5163,IndiGo,1,No Info,2067.9375320460367,1,6,17,10,1030,1,30,90,500.0,0
6265,Jet Airways,2,No Info,2067.9375320460367,27,6,19,10,1150,12,35,755,1045.0,0
105,Jet Airways,2,In-flight meal not included,2067.9375320460367,18,5,19,30,1170,4,25,265,535.0,0
1494,Multiple carriers,1,No Info,2067.9375320460367,27,3,7,5,425,16,10,970,545.0,0
5589,Jet Airways,1,No Info,2067.9375320460367,1,6,21,50,1310,12,35,755,885.0,0
447,SpiceJet,0,No check-in baggage included,1355.3008742024228,1,6,9,45,585,12,0,720,135.0,0
5126,Jet Airways,1,In-flight meal not included,2067.9375320460367,27,3,7,5,425,4,25,265,1280.0,0
2630,IndiGo,0,No Info,1555.0674811297085,1,5,4,40,280,7,15,435,155.0,0
9477,IndiGo,1,No Info,2067.9375320460367,27,6,5,5,305,12,10,730,425.0,0
1857,Air Asia,0,No Info,1555.0674811297085,21,6,19,55,1195,22,25,1345,150.0,0
7756,Jet Airways,1,No Info,1733.8148384158953,1,3,7,0,420,15,15,915,495.0,0
3218,IndiGo,0,No Info,2067.9375320460367,9,6,5,35,335,8,50,530,195.0,0
5273,Air Asia,0,No Info,1732.2021511121818,12,4,23,55,1435,2,45,165,170.0,0
400,Jet Airways,1,In-flight meal not included,1733.8148384158953,12,3,18,55,1135,10,45,645,950.0,0
9846,Multiple carriers,2,No Info,2067.9375320460367,3,3,13,5,785,21,20,1280,495.0,0
4963,Jet Airways,1,In-flight meal not included,1555.0674811297085,6,6,20,0,1200,9,20,560,800.0,0
551,Jet Airways,1,No Info,2067.9375320460367,3,3,9,55,595,4,25,265,1110.0,0
10461,IndiGo,0,No Info,1555.0674811297085,24,4,9,35,575,12,20,740,165.0,0
8661,Air India,0,No Info,1555.0674811297085,6,6,20,45,1245,23,20,1400,155.0,0
302,Air Asia,0,No Info,1555.0674811297085,12,5,10,20,620,12,55,775,155.0,0
4525,Air India,1,No Info,2067.9375320460367,9,6,17,40,1060,8,15,495,875.0,0
3411,Jet Airways,1,In-flight meal not included,2067.9375320460367,27,3,9,55,595,18,50,1130,535.0,0
3024,Jet Airways,1,In-flight meal not included,1733.8148384158953,21,3,11,40,700,21,20,1280,580.0,0
4504,SpiceJet,0,No check-in baggage included,1555.0674811297085,15,6,6,55,415,9,30,570,155.0,0
5706,Jet Airways,0,In-flight meal not included,621.7888435036485,3,5,7,5,425,8,30,510,85.0,0
9932,Vistara,0,No Info,2067.9375320460367,15,6,14,40,880,17,50,1070,190.0,0
5383,Multiple carriers,1,No Info,2067.9375320460367,27,4,7,25,445,13,35,815,370.0,0
4179,Jet Airways,1,In-flight meal not included,2067.9375320460367,1,6,7,5,425,12,35,755,330.0,0
3705,Multiple carriers,1,No Info,2067.9375320460367,27,5,11,30,690,21,0,1260,570.0,0
7529,Multiple carriers,1,No Info,2067.9375320460367,9,4,7,25,445,13,20,800,355.0,0
4446,Multiple carriers,1,No Info,2067.9375320460367,21,3,9,10,550,19,15,1155,605.0,0
6821,Jet Airways,1,No Info,1555.0674811297085,24,5,18,55,1135,4,40,280,585.0,0
8305,Air India,2,No Info,1555.0674811297085,6,6,8,20,500,7,55,475,1415.0,0
5769,Jet Airways,2,In-flight meal not included,2067.9375320460367,21,5,5,30,330,19,0,1140,810.0,0
9487,Jet Airways,1,No Info,1555.0674811297085,6,5,16,30,990,4,40,280,730.0,0
2531,Vistara,1,No Info,1555.0674811297085,1,5,20,20,1220,23,25,1405,185.0,0
1107,Multiple carriers,1,No Info,2067.9375320460367,3,6,9,15,555,19,15,1155,600.0,0
5254,SpiceJet,1,No Info,1555.0674811297085,1,4,15,55,955,21,25,1285,330.0,0
9376,Jet Airways,1,In-flight meal not included,1733.8148384158953,18,3,14,5,845,20,20,1220,375.0,0
1715,Jet Airways,1,No Info,2067.9375320460367,18,5,19,45,1185,19,0,1140,1395.0,0
9209,Air Asia,0,No Info,1555.0674811297085,27,3,22,50,1370,1,20,80,150.0,0
6741,IndiGo,1,No Info,2067.9375320460367,15,5,15,10,910,20,0,1200,290.0,0
4989,Jet Airways,1,No Info,1555.0674811297085,18,5,17,0,1020,21,5,1265,245.0,0
205,Jet Airways,0,No Info,1732.2021511121818,18,4,15,15,915,18,10,1090,175.0,0
4889,Vistara,1,No Info,1555.0674811297085,12,5,20,20,1220,20,20,1220,0.0,0
8674,Jet Airways,1,No Info,2067.9375320460367,9,5,2,15,135,12,35,755,620.0,0
8168,Air India,0,No Info,1733.8148384158953,3,3,21,10,1270,23,55,1435,165.0,0
8876,Jet Airways,1,In-flight meal not included,1555.0674811297085,1,4,16,30,990,23,35,1415,425.0,0
4875,Air India,1,No Info,1555.0674811297085,24,3,12,0,720,13,40,820,100.0,0
4496,IndiGo,0,No Info,1732.2021511121818,3,4,1,30,90,4,15,255,165.0,0
2158,Jet Airways,0,In-flight meal not included,621.7888435036485,27,3,7,10,430,8,35,515,85.0,0
7139,Multiple carriers,2,No Info,2067.9375320460367,9,3,13,15,795,21,20,1280,485.0,0
7419,Multiple carriers,1,No Info,2067.9375320460367,9,6,9,45,585,22,30,1350,765.0,0
8646,IndiGo,1,No Info,2067.9375320460367,6,3,6,40,400,21,0,1260,860.0,0
7492,Jet Airways,1,In-flight meal not included,2067.9375320460367,9,5,20,55,1255,19,0,1140,1325.0,0
7780,Jet Airways,1,No Info,1733.8148384158953,12,3,21,25,1285,7,40,460,615.0,0
6186,Multiple carriers,1,No Info,2067.9375320460367,9,5,13,0,780,21,0,1260,480.0,0
4770,IndiGo,1,No Info,2067.9375320460367,27,6,18,35,1115,1,30,90,415.0,0
2643,Multiple carriers,1,In-flight meal not included,2067.9375320460367,24,6,12,50,770,21,0,1260,490.0,0
2020,Jet Airways,1,In-flight meal not included,1555.0674811297085,1,4,9,35,575,19,10,1150,575.0,0
6662,Jet Airways,1,No Info,1733.8148384158953,6,3,7,0,420,23,0,1380,960.0,0
4508,Multiple carriers,2,No Info,2067.9375320460367,1,6,15,5,905,1,30,90,625.0,0
4108,Air India,2,No Info,1555.0674811297085,24,3,9,10,550,11,10,670,120.0,0
3822,IndiGo,0,No Info,1732.2021511121818,18,4,1,30,90,4,15,255,165.0,0
1125,Air Asia,0,No Info,1733.8148384158953,15,3,5,50,350,8,40,520,170.0,0
3322,Multiple carriers,1,No Info,2067.9375320460367,6,3,7,30,450,18,50,1130,680.0,0
3340,Jet Airways,1,In-flight meal not included,1555.0674811297085,24,5,18,55,1135,16,20,980,1285.0,0
4106,Vistara,1,No Info,1555.0674811297085,9,6,20,20,1220,18,50,1130,1350.0,0
354,Jet Airways,1,In-flight meal not included,2067.9375320460367,27,3,18,15,1095,4,25,265,610.0,0
10547,Jet Airways,2,In-flight meal not included,2067.9375320460367,12,6,5,30,330,19,0,1140,810.0,0
4482,Jet Airways,1,No Info,2067.9375320460367,3,6,16,0,960,4,25,265,745.0,0
2234,Jet Airways,1,In-flight meal not included,2067.9375320460367,24,6,13,0,780,4,25,265,925.0,0
2486,Jet Airways,1,In-flight meal not included,2067.9375320460367,18,5,19,15,1155,12,35,755,1040.0,0
451,Air India,2,No Info,2067.9375320460367,1,6,10,55,655,19,15,1155,500.0,0
5027,Multiple carriers,1,No Info,2067.9375320460367,27,3,11,30,690,18,50,1130,440.0,0
4836,Jet Airways,1,In-flight meal not included,1555.0674811297085,15,5,17,0,1020,14,25,865,1285.0,0
3991,Air India,1,No Info,2067.9375320460367,9,3,23,0,1380,19,15,1155,1215.0,0
1257,Multiple carriers,1,No Info,2067.9375320460367,21,3,17,30,1050,1,35,95,485.0,0
1399,IndiGo,1,No Info,2067.9375320460367,3,3,5,35,335,10,10,610,275.0,0
7441,Jet Airways,1,In-flight meal not included,2067.9375320460367,21,5,19,45,1185,12,35,755,1010.0,0
8866,IndiGo,1,No Info,1555.0674811297085,6,6,6,20,380,10,20,620,240.0,0
186,IndiGo,1,No Info,2067.9375320460367,27,6,21,50,1310,3,35,215,345.0,0
4712,Jet Airways,1,No Info,1733.8148384158953,6,3,22,50,1370,0,45,45,115.0,0
5495,IndiGo,0,No Info,1555.0674811297085,27,6,9,35,575,12,10,730,155.0,0
5877,IndiGo,1,No Info,2067.9375320460367,21,3,7,45,465,13,40,820,355.0,0
9303,Vistara,0,No Info,1733.8148384158953,1,3,19,40,1180,22,20,1340,160.0,0
2094,Multiple carriers,1,No Info,2067.9375320460367,27,5,10,0,600,21,0,1260,660.0,0
986,Air India,0,No Info,1355.3008742024228,21,6,11,40,700,13,55,835,135.0,0
10639,Air India,3,No Info,2067.9375320460367,3,6,5,15,315,19,15,1155,840.0,0
8016,IndiGo,2,No Info,2067.9375320460367,6,3,11,55,715,21,20,1280,565.0,0
2275,Air India,1,No Info,1733.8148384158953,3,3,0,30,30,8,45,525,495.0,0
4227,Jet Airways,2,In-flight meal not included,2067.9375320460367,21,3,19,10,1150,18,50,1130,1420.0,0
10160,Multiple carriers,1,No Info,2067.9375320460367,6,3,17,0,1020,1,35,95,515.0,0
3688,Jet Airways,2,No Info,2067.9375320460367,1,6,5,30,330,19,0,1140,810.0,0
10164,Multiple carriers,1,No Info,2067.9375320460367,15,5,10,0,600,19,15,1155,555.0,0
6039,Multiple carriers,2,No Info,2067.9375320460367,1,6,17,50,1070,1,30,90,460.0,0
22,IndiGo,0,No Info,1732.2021511121818,3,4,4,0,240,6,50,410,170.0,0
5591,Jet Airways,1,In-flight meal not included,1733.8148384158953,21,3,11,40,700,11,25,685,1425.0,0
2972,SpiceJet,0,No Info,621.7888435036485,27,6,5,45,345,7,15,435,90.0,0
8396,Jet Airways,2,No Info,2067.9375320460367,24,6,18,20,1100,4,25,265,605.0,0
3890,Jet Airways,1,No Info,2067.9375320460367,3,6,9,0,540,19,0,1140,600.0,0
250,Vistara,0,No Info,2067.9375320460367,3,3,6,0,360,9,10,550,190.0,0
8301,SpiceJet,0,No Info,1555.0674811297085,1,6,17,10,1030,19,40,1180,150.0,0
9872,Multiple carriers,1,No Info,2067.9375320460367,21,3,14,0,840,21,0,1260,420.0,0
8858,IndiGo,0,No Info,1732.2021511121818,27,6,18,55,1135,21,50,1310,175.0,0
7224,Vistara,0,No Info,1732.2021511121818,18,4,17,0,1020,19,35,1175,155.0,0
2052,Jet Airways,2,No Info,2067.9375320460367,27,5,9,40,580,4,25,265,1125.0,0
587,Jet Airways,1,In-flight meal not included,1555.0674811297085,24,3,21,10,1270,10,5,605,775.0,0
3014,SpiceJet,0,No Info,1555.0674811297085,21,6,6,55,415,9,30,570,155.0,0
10520,Jet Airways,1,In-flight meal not included,2067.9375320460367,27,6,20,55,1255,19,0,1140,1325.0,0
731,Jet Airways,0,In-flight meal not included,1732.2021511121818,3,4,15,15,915,18,10,1090,175.0,0
6263,IndiGo,1,No Info,2067.9375320460367,27,5,17,30,1050,1,30,90,480.0,0
2501,IndiGo,0,No Info,1355.3008742024228,15,3,19,35,1175,21,55,1315,140.0,0
8689,Jet Airways,1,In-flight meal not included,1555.0674811297085,6,6,17,0,1020,9,45,585,1005.0,0
4584,Jet Airways,1,In-flight meal not included,2067.9375320460367,9,3,15,5,905,4,25,265,800.0,0
2625,Air India,1,No Info,2067.9375320460367,6,3,6,10,370,8,15,495,125.0,0
4097,Air India,1,No Info,2067.9375320460367,18,5,20,30,1230,23,0,1380,150.0,0
7081,Jet Airways,1,No Info,2067.9375320460367,3,3,23,5,1385,18,50,1130,1185.0,0
2548,Jet Airways,2,No Info,2067.9375320460367,9,5,23,5,1385,4,25,265,320.0,0
2448,Air India,1,No Info,2067.9375320460367,6,3,20,30,1230,8,15,495,705.0,0
4119,Air India,1,No Info,2067.9375320460367,9,5,9,45,585,23,0,1380,795.0,0
10104,Jet Airways,1,In-flight meal not included,1555.0674811297085,24,5,6,30,390,9,20,560,170.0,0
10310,Vistara,0,No Info,1355.3008742024228,24,6,7,45,465,10,0,600,135.0,0
1874,Jet Airways,1,In-flight meal not included,1733.8148384158953,12,3,20,35,1235,16,10,970,1175.0,0
5734,Jet Airways,1,No Info,2067.9375320460367,27,3,9,0,540,4,25,265,1165.0,0
3503,Multiple carriers,1,No Info,2067.9375320460367,18,5,8,30,510,19,0,1140,630.0,0
9855,Air Asia,0,No Info,1732.2021511121818,27,5,11,10,670,13,55,835,165.0,0
4590,IndiGo,0,No Info,1555.0674811297085,24,4,15,30,930,18,5,1085,155.0,0
9758,SpiceJet,0,No Info,1733.8148384158953,9,3,20,30,1230,23,20,1400,170.0,0
2268,Multiple carriers,1,No Info,2067.9375320460367,21,5,15,0,900,1,30,90,630.0,0
2780,Air Asia,0,No Info,1555.0674811297085,9,3,22,50,1370,1,20,80,150.0,0
2896,IndiGo,0,No Info,1555.0674811297085,24,3,15,20,920,17,55,1075,155.0,0
4230,IndiGo,0,No Info,1732.2021511121818,3,5,18,55,1135,21,50,1310,175.0,0
7188,Jet Airways,1,No Info,1555.0674811297085,24,3,19,45,1185,16,20,980,1235.0,0
2281,Air India,0,No Info,1732.2021511121818,21,5,10,0,600,12,45,765,165.0,0
4448,Vistara,0,No Info,1733.8148384158953,24,3,16,0,960,18,35,1115,155.0,0
8297,Vistara,0,No Info,1732.2021511121818,12,6,19,30,1170,22,15,1335,165.0,0
8704,Air India,2,No Info,1555.0674811297085,6,5,16,50,1010,15,5,905,1335.0,0
7973,Jet Airways,1,No Info,1733.8148384158953,6,3,5,45,345,10,25,625,280.0,0
5405,Jet Airways,1,In-flight meal not included,1555.0674811297085,24,5,8,25,505,18,15,1095,590.0,0
4239,Multiple carriers,1,No Info,2067.9375320460367,6,6,14,55,895,22,30,1350,455.0,0
3824,IndiGo,0,No Info,1555.0674811297085,3,5,15,30,930,18,5,1085,155.0,0
2751,Multiple carriers,1,No Info,2067.9375320460367,3,6,13,15,795,22,30,1350,555.0,0
512,Jet Airways,1,In-flight meal not included,1733.8148384158953,21,3,8,55,535,16,10,970,435.0,0
6788,IndiGo,0,No Info,1732.2021511121818,9,6,0,25,25,3,15,195,170.0,0
8202,Air India,2,No Info,1555.0674811297085,9,5,12,0,720,18,30,1110,390.0,0
10456,Jet Airways,2,No Info,2067.9375320460367,6,3,19,10,1150,18,50,1130,1420.0,0
9469,Multiple carriers,1,No Info,2067.9375320460367,18,5,8,45,525,19,15,1155,630.0,0
